"filename", "language", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "Markdown", "JavaScript", "XML", "HTML", "comment", "blank", "total"
"d:\WEB\lookfor\src\pages\Home\NewView.tsx", "TypeScript JSX", 0, 0, 0, 166, 0, 0, 0, 0, 0, 7, 173
"d:\WEB\lookfor\src\pages\Home\index.tsx", "TypeScript JSX", 0, 0, 0, 180, 0, 0, 0, 0, 0, 16, 196
"d:\WEB\lookfor\src\pages\Keep.tsx", "TypeScript JSX", 0, 0, 0, 186, 0, 0, 0, 0, 0, 12, 198
"d:\WEB\lookfor\src\pages\Login\Login.tsx", "TypeScript JSX", 0, 0, 0, 149, 0, 0, 0, 0, 0, 13, 162
"d:\WEB\lookfor\src\pages\Login\SignUp.tsx", "TypeScript JSX", 0, 0, 0, 239, 0, 0, 0, 0, 0, 13, 252
"d:\WEB\lookfor\src\pages\Login\index.tsx", "TypeScript JSX", 0, 0, 0, 70, 0, 0, 0, 0, 0, 6, 76
"d:\WEB\lookfor\src\pages\Profile\MySupportPost.tsx", "TypeScript JSX", 0, 0, 0, 127, 0, 0, 0, 0, 0, 7, 134
"d:\WEB\lookfor\src\pages\Profile\MyViewPost.tsx", "TypeScript JSX", 0, 0, 0, 111, 0, 0, 0, 0, 0, 8, 119
"d:\WEB\lookfor\src\pages\Profile\ProfileInfo.tsx", "TypeScript JSX", 0, 0, 0, 94, 0, 0, 0, 0, 0, 7, 101
"d:\WEB\lookfor\src\pages\Profile\index.tsx", "TypeScript JSX", 0, 0, 0, 115, 0, 0, 0, 0, 0, 11, 126
"d:\WEB\lookfor\src\pages\TransportationDriving.tsx", "TypeScript JSX", 0, 0, 0, 235, 0, 0, 0, 0, 0, 14, 249
"d:\WEB\lookfor\src\pages\TransportationPublic.tsx", "TypeScript JSX", 0, 0, 0, 111, 0, 0, 0, 0, 0, 5, 116
"d:\WEB\lookfor\src\pages\View\Post.tsx", "TypeScript JSX", 0, 0, 0, 503, 0, 0, 0, 0, 0, 33, 536
"d:\WEB\lookfor\src\pages\View\RowButtons.tsx", "TypeScript JSX", 0, 0, 0, 76, 0, 0, 0, 0, 0, 5, 81
"d:\WEB\lookfor\src\pages\View\Rows.tsx", "TypeScript JSX", 0, 0, 0, 74, 0, 0, 0, 0, 0, 9, 83
"d:\WEB\lookfor\src\pages\View\Seat.tsx", "TypeScript JSX", 0, 0, 0, 209, 0, 0, 0, 0, 0, 22, 231
"d:\WEB\lookfor\src\pages\View\SeatButtons.tsx", "TypeScript JSX", 0, 0, 0, 122, 0, 0, 0, 0, 0, 7, 129
"d:\WEB\lookfor\src\pages\View\SectionSecond.tsx", "TypeScript JSX", 0, 0, 0, 143, 0, 0, 0, 0, 0, 6, 149
"d:\WEB\lookfor\src\pages\View\SectionThird.tsx", "TypeScript JSX", 0, 0, 0, 135, 0, 0, 0, 0, 0, 5, 140
"d:\WEB\lookfor\src\pages\View\SectionVIP.tsx", "TypeScript JSX", 0, 0, 0, 63, 0, 0, 0, 0, 0, 6, 69
"d:\WEB\lookfor\src\pages\View\Sections.tsx", "TypeScript JSX", 0, 0, 0, 66, 0, 0, 0, 0, 0, 7, 73
"d:\WEB\lookfor\src\pages\View\ViewPostCard.tsx", "TypeScript JSX", 0, 0, 0, 371, 0, 0, 0, 0, 0, 18, 389
"d:\WEB\lookfor\src\pages\View\index.tsx", "TypeScript JSX", 0, 0, 0, 383, 0, 0, 0, 0, 0, 20, 403
"d:\WEB\lookfor\src\types\index.tsx", "TypeScript JSX", 0, 0, 0, 110, 0, 0, 0, 0, 0, 11, 121
"d:\WEB\lookfor\src\utils\AuthContextProvider.tsx", "TypeScript JSX", 0, 0, 0, 33, 0, 0, 0, 0, 0, 9, 42
"d:\WEB\lookfor\src\utils\ComponentContextProvider.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"d:\WEB\lookfor\src\utils\ConcertContextProvider.tsx", "TypeScript JSX", 0, 0, 0, 29, 0, 0, 0, 0, 0, 8, 37
"d:\WEB\lookfor\src\utils\api.ts", "TypeScript", 0, 0, 475, 0, 0, 0, 0, 0, 0, 60, 535
"d:\WEB\lookfor\src\utils\firebase.ts", "TypeScript", 0, 0, 74, 0, 0, 0, 0, 0, 0, 4, 78
"d:\WEB\lookfor\src\utils\useDialog.tsx", "TypeScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"d:\WEB\lookfor\src\utils\useGoogleVisionAPI.tsx", "TypeScript JSX", 0, 0, 0, 53, 0, 0, 0, 0, 0, 7, 60
"d:\WEB\lookfor\src\utils\useSection.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 7, 27
"d:\WEB\lookfor\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\WEB\lookfor\tsconfig.app.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 2, 3, 25
"d:\WEB\lookfor\tsconfig.app.tsbuildinfo", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\WEB\lookfor\tsconfig.json", "JSON with Comments", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\WEB\lookfor\tsconfig.node.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 0, 2, 3, 23
"d:\WEB\lookfor\tsconfig.node.tsbuildinfo", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\WEB\lookfor\vite.config.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 1, 1, 11
"Total", "-", 9, 5675, 781, 6799, 40, 27, 54, 27, 10, 614, 14036
