"filename", "language", "JSON", "TypeScript", "JSON with Comments", "TypeScript JSX", "Markdown", "CSS", "XML", "HTML", "JavaScript", "comment", "blank", "total"
"d:\WEB\lookfor\src\pages\TransportationDriving.tsx", "TypeScript JSX", 0, 0, 0, 250, 0, 0, 0, 0, 0, 16, 18, 284
"d:\WEB\lookfor\src\pages\TransportationPublic.tsx", "TypeScript JSX", 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 5, 119
"d:\WEB\lookfor\src\pages\View\Post.tsx", "TypeScript JSX", 0, 0, 0, 426, 0, 0, 0, 0, 0, 0, 34, 460
"d:\WEB\lookfor\src\pages\View\Rows.tsx", "TypeScript JSX", 0, 0, 0, 105, 0, 0, 0, 0, 0, 7, 7, 119
"d:\WEB\lookfor\src\pages\View\Seat.tsx", "TypeScript JSX", 0, 0, 0, 545, 0, 0, 0, 0, 0, 0, 20, 565
"d:\WEB\lookfor\src\pages\View\Sections.tsx", "TypeScript JSX", 0, 0, 0, 664, 0, 0, 0, 0, 0, 0, 11, 675
"d:\WEB\lookfor\src\pages\View\index.tsx", "TypeScript JSX", 0, 0, 0, 407, 0, 0, 0, 0, 0, 4, 45, 456
"d:\WEB\lookfor\src\utils\AuthContextProvider.tsx", "TypeScript JSX", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 9, 48
"d:\WEB\lookfor\src\utils\ComponentContextProvider.tsx", "TypeScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"d:\WEB\lookfor\src\utils\ConcertContextProvider.tsx", "TypeScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 10, 34
"d:\WEB\lookfor\src\utils\api.ts", "TypeScript", 0, 487, 0, 0, 0, 0, 0, 0, 0, 7, 67, 561
"d:\WEB\lookfor\src\utils\firebase.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 4, 53
"d:\WEB\lookfor\src\utils\useGoogleVisionAPI.tsx", "TypeScript JSX", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 7, 60
"d:\WEB\lookfor\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\WEB\lookfor\tsconfig.app.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"d:\WEB\lookfor\tsconfig.app.tsbuildinfo", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\WEB\lookfor\tsconfig.json", "JSON with Comments", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\WEB\lookfor\tsconfig.node.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 23
"d:\WEB\lookfor\tsconfig.node.tsbuildinfo", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\WEB\lookfor\vite.config.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 1, 11
"Total", "-", 5646, 744, 9, 5828, 40, 61, 54, 27, 27, 93, 523, 13052
