"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Markdown", "JavaScript", "TypeScript JSX", "HTML", "XML", "comment", "blank", "total"
"d:\WEB\lookfor\src\pages\View\Seat.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 587, 0, 0, 0, 16, 603
"d:\WEB\lookfor\src\pages\View\Sections.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 803, 0, 0, 0, 16, 819
"d:\WEB\lookfor\src\pages\View\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 454, 0, 0, 3, 43, 500
"d:\WEB\lookfor\src\types\ProfileTypes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 2, 25
"d:\WEB\lookfor\src\utils\AuthContextProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 0, 9, 48
"d:\WEB\lookfor\src\utils\ComponentContextProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"d:\WEB\lookfor\src\utils\ConcertContextProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 0, 8, 37
"d:\WEB\lookfor\src\utils\api.ts", "TypeScript", 0, 0, 531, 0, 0, 0, 0, 0, 15, 76, 622
"d:\WEB\lookfor\src\utils\firebase.ts", "TypeScript", 0, 0, 74, 0, 0, 0, 0, 0, 0, 4, 78
"d:\WEB\lookfor\src\utils\useDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 5, 21
"d:\WEB\lookfor\src\utils\useGoogleVisionAPI.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 0, 7, 60
"d:\WEB\lookfor\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\WEB\lookfor\tsconfig.app.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"d:\WEB\lookfor\tsconfig.app.tsbuildinfo", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\WEB\lookfor\tsconfig.json", "JSON with Comments", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\WEB\lookfor\tsconfig.node.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 2, 3, 23
"d:\WEB\lookfor\tsconfig.node.tsbuildinfo", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\WEB\lookfor\vite.config.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 1, 1, 11
"Total", "-", 5675, 9, 832, 40, 27, 6606, 27, 54, 33, 528, 13831
